Nume logic,Eticheta set,Valoare,Eticheta optiune,Referinta blueprint,Multi-select
rd_categoriemp,Categorie materie prima,100000013,Altele,,Nu
rd_sursablocaj,Cine blocheaza,100000000,Furnizor,,Nu
rd_sursablocaj,Cine blocheaza,100000001,Client,,Nu
rd_sursablocaj,Cine blocheaza,100000002,Calitate,,Nu
rd_sursablocaj,Cine blocheaza,100000003,Planificare,,Nu
rd_sursablocaj,Cine blocheaza,100000004,Productie,,Nu
rd_sursablocaj,Cine blocheaza,100000005,Achizitii,,Nu
rd_sursablocaj,Cine blocheaza,100000006,Intern R&D,,Nu
rd_sursablocaj,Cine blocheaza,100000007,Extern reglementar,,Nu
rd_tipmostra,Tip mostra,100000000,Materie prima,,Nu
rd_tipmostra,Tip mostra,100000001,Produs finit intern,,Nu
rd_tipmostra,Tip mostra,100000002,Produs concurenta,,Nu
rd_tipmostra,Tip mostra,100000003,Mostra client,,Nu
rd_tipmostra,Tip mostra,100000004,Ambalaj,,Nu
rd_tipmasuratoare,Tip masuratoare,100000000,Greutate,,Nu
rd_tipmasuratoare,Tip masuratoare,100000001,Lungime,,Nu
rd_tipmasuratoare,Tip masuratoare,100000002,Latime,,Nu
rd_tipmasuratoare,Tip masuratoare,100000003,Inaltime,,Nu
rd_tipmasuratoare,Tip masuratoare,100000004,Diametru,,Nu
rd_tipmasuratoare,Tip masuratoare,100000005,Grosime,,Nu
rd_tipmasuratoare,Tip masuratoare,100000006,Volum,,Nu
rd_tipmasuratoare,Tip masuratoare,100000007,Aspect,,Nu
rd_tipmasuratoare,Tip masuratoare,100000008,Alveolare,,Nu
rd_tipmasuratoare,Tip masuratoare,100000009,Miros,,Nu
rd_tipmasuratoare,Tip masuratoare,100000010,Gust,,Nu
rd_tipmasuratoare,Tip masuratoare,100000011,Culoare,,Nu
rd_tipmasuratoare,Tip masuratoare,100000012,Umiditate,,Nu
rd_tipmasuratoare,Tip masuratoare,100000013,Aw,,Nu
rd_tipmasuratoare,Tip masuratoare,100000014,pH,,Nu
rd_tipmasuratoare,Tip masuratoare,100000015,Temperatura,,Nu
rd_rezultattrial,Rezultat trial,100000000,In curs,,Nu
rd_rezultattrial,Rezultat trial,100000001,Reusit,,Nu
rd_rezultattrial,Rezultat trial,100000002,Reusit cu observatii,,Nu
rd_rezultattrial,Rezultat trial,100000003,Nereusit,,Nu
rd_rezultatiteratie,Rezultat iteratie furnizor,100000000,In curs,,Nu
rd_rezultatiteratie,Rezultat iteratie furnizor,100000001,Acceptata tehnic,,Nu
rd_rezultatiteratie,Rezultat iteratie furnizor,100000002,Respinsa tehnic,,Nu
rd_rezultatiteratie,Rezultat iteratie furnizor,100000003,Respinsa de Calitate,,Nu
rd_rezultatiteratie,Rezultat iteratie furnizor,100000004,Respinsa pe cost,,Nu
rd_rezultatiteratie,Rezultat iteratie furnizor,100000005,Retrasa de furnizor,,Nu
rd_verdict,Verdict senzorial,100000000,Acceptat,6.5.5,Nu
rd_verdict,Verdict senzorial,100000001,Acceptat cu observatii,6.5.5,Nu
rd_verdict,Verdict senzorial,100000002,Respins,6.5.5,Nu
rd_tipst,Tip specificatie,100000000,Conditii ST,,Nu
rd_tipst,Tip specificatie,100000001,ST draft,,Nu
rd_tipst,Tip specificatie,100000002,ST finala,,Nu
rd_tipst,Tip specificatie,100000003,ST interna MP noua,,Nu
rd_tipeticheta,Tip eticheta,100000000,Punga,,Nu
rd_tipeticheta,Tip eticheta,100000001,Bax,,Nu
rd_tipeticheta,Tip eticheta,100000002,EPC eticheta produs client,,Nu
rd_tipeticheta,Tip eticheta,100000003,Fisier imprimanta,,Nu
rd_tipreferinta,Tip referinta de comparatie,100000000,Produs concurenta,,Nu
rd_tipreferinta,Tip referinta de comparatie,100000001,Produs actual,,Nu
rd_tipreferinta,Tip referinta de comparatie,100000002,Mostra client,,Nu
rd_tipreferinta,Tip referinta de comparatie,100000003,Specificatie client,,Nu
rd_tipreferinta,Tip referinta de comparatie,100000004,Inexistenta,,Nu
rd_faza,Faza,100000000,00 Solicitare,5.1.1,Nu
rd_faza,Faza,100000001,01 Plan,5.1.1,Nu
rd_faza,Faza,100000002,02 Testare,5.1.1,Nu
rd_faza,Faza,100000003,03 Mostre,5.1.1,Nu
rd_faza,Faza,100000004,04 Antecalcul,5.1.1,Nu
rd_faza,Faza,100000005,05 Specificatii,5.1.1,Nu
rd_faza,Faza,100000006,06 Eticheta,5.1.1,Nu
rd_faza,Faza,100000007,07 Implementare,5.1.1,Nu
rd_faza,Faza,100000008,08 Dosar validat,5.1.1,Nu
rd_faza,Faza,100000009,09 Revizuire,5.1.1,Nu
rd_rol,Rol,100000000,Head of R&D,11.2,Nu
rd_rol,Rol,100000001,Manager R&D,11.2,Nu
rd_rol,Rol,100000002,Tehnolog,11.2,Nu
rd_rol,Rol,100000003,Suport R&D,11.2,Nu
rd_rol,Rol,100000004,KAM,11.2,Nu
rd_rol,Rol,100000005,Comercial Manager,11.2,Nu
rd_rol,Rol,100000006,Achizitii,11.2,Nu
rd_rol,Rol,100000007,Calitate,11.2,Nu
rd_rol,Rol,100000008,Planificare,11.2,Nu
rd_rol,Rol,100000009,Productie,11.2,Nu
rd_banda,Banda prioritate,100000000,P1,2.2.4,Nu
rd_banda,Banda prioritate,100000001,P2,2.2.4,Nu
rd_banda,Banda prioritate,100000002,P3,2.2.4,Nu
rd_banda,Banda prioritate,100000003,P4,2.2.4,Nu
rd_schimb,Schimb,100000000,07-15,,Nu
rd_schimb,Schimb,100000001,15-23,,Nu
rd_schimb,Schimb,100000002,23-07,,Nu
rd_um,Unitate de masura,100000000,kg,,Nu
rd_um,Unitate de masura,100000001,g,,Nu
rd_um,Unitate de masura,100000002,l,,Nu
rd_um,Unitate de masura,100000003,ml,,Nu
rd_um,Unitate de masura,100000004,buc,,Nu
rd_alergen,Alergen,100000000,Cereale cu gluten,Anexa II Reg. (UE) 1169/2011,Da
rd_alergen,Alergen,100000001,Crustacee,Anexa II Reg. (UE) 1169/2011,Da
rd_alergen,Alergen,100000002,Oua,Anexa II Reg. (UE) 1169/2011,Da
rd_alergen,Alergen,100000003,Peste,Anexa II Reg. (UE) 1169/2011,Da
rd_alergen,Alergen,100000004,Arahide,Anexa II Reg. (UE) 1169/2011,Da
rd_alergen,Alergen,100000005,Soia,Anexa II Reg. (UE) 1169/2011,Da
rd_alergen,Alergen,100000006,Lapte,Anexa II Reg. (UE) 1169/2011,Da
rd_alergen,Alergen,100000007,Fructe cu coaja lemnoasa,Anexa II Reg. (UE) 1169/2011,Da
rd_alergen,Alergen,100000008,Telina,Anexa II Reg. (UE) 1169/2011,Da
rd_alergen,Alergen,100000009,Mustar,Anexa II Reg. (UE) 1169/2011,Da
rd_alergen,Alergen,100000010,Susan,Anexa II Reg. (UE) 1169/2011,Da
rd_alergen,Alergen,100000011,Dioxid de sulf si sulfiti,Anexa II Reg. (UE) 1169/2011,Da
rd_alergen,Alergen,100000012,Lupin,Anexa II Reg. (UE) 1169/2011,Da
rd_alergen,Alergen,100000013,Moluste,Anexa II Reg. (UE) 1169/2011,Da
